user_id,round_index,phase,scenario_id,bundle_id,order_ids,is_chosen,is_oracle,legal,score,earnings,total_time_seconds,travel_time_seconds,local_travel_time_seconds,cross_city_travel_time_seconds,effective_pick_time_seconds,shared_item_savings_seconds,ending_city,regret_to_best,score_ratio_to_best,deployed_score,deployed_total_time_seconds,deployed_regret_to_best,deployed_score_ratio_to_best,is_oracle_deployed
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder1,"[""mainGameOrder1""]",0,1,1,2.037037,22.0,10.8,1.8,1.8,0.0,9.0,0.0,Berkeley,0.0,1.0,2.037037,10.8,0.0,1.0,1
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder2,"[""mainGameOrder2""]",0,0,1,1.527778,22.0,14.4,5.4,5.4,0.0,9.0,0.0,Berkeley,0.25,0.75,1.527778,14.4,0.25,0.75,0
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder3,"[""mainGameOrder3""]",0,0,1,1.153846,15.0,13.0,5.2,5.2,0.0,7.8,0.0,Berkeley,0.433566,0.566434,1.153846,13.0,0.433566,0.566434,0
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder4,"[""mainGameOrder4""]",0,0,1,0.827586,18.0,21.75,12.0,2.0,10.0,9.75,0.0,Oakland,0.59373,0.40627,0.827586,21.75,0.59373,0.40627,0
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder1|mainGameOrder2,"[""mainGameOrder1"",""mainGameOrder2""]",0,0,1,1.929825,44.0,22.8,5.4,5.4,0.0,17.4,2.4,Berkeley,0.052632,0.947368,1.788618,24.6,0.121951,0.878049,0
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder1|mainGameOrder3,"[""mainGameOrder1"",""mainGameOrder3""]",0,0,1,1.882952,37.0,19.65,5.25,5.25,0.0,14.4,4.15,Berkeley,0.075642,0.924358,1.728972,21.4,0.151232,0.848768,0
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder2|mainGameOrder3,"[""mainGameOrder2"",""mainGameOrder3""]",0,0,1,1.532091,37.0,24.15,7.95,7.95,0.0,16.2,3.25,Berkeley,0.247883,0.752117,1.380597,26.8,0.322252,0.677748,0
u_ecdd1ab2fb036087,1,A,mainGameScenario1,mainGameScenario1::mainGameOrder1|mainGameOrder2|mainGameOrder3,"[""mainGameOrder1"",""mainGameOrder2"",""mainGameOrder3""]",1,0,1,1.838006,59.0,32.1,9.3,9.3,0.0,22.8,6.1,Berkeley,0.097706,0.902294,1.676136,35.2,0.177169,0.822831,0
u_ecdd1ab2fb036087,2,A,mainGameScenario2,mainGameScenario2::mainGameOrder5,"[""mainGameOrder5""]",0,0,1,1.411765,24.0,17.0,5.0,5.0,0.0,12.0,0.0,Berkeley,0.237647,0.762353,1.411765,17.0,0.237647,0.762353,0
u_ecdd1ab2fb036087,2,A,mainGameScenario2,mainGameScenario2::mainGameOrder6,"[""mainGameOrder6""]",0,0,1,0.974026,15.0,15.4,4.0,4.0,0.0,11.4,0.0,Berkeley,0.474026,0.525974,0.974026,15.4,0.474026,0.525974,0
